Forecast Horizon,Model RMSE [°C],Model MAE [°C],Baseline RMSE [°C],Baseline MAE [°C]
1h,6.229667134046436017e-01,4.389795327248005030e-01,8.960249609210713118e-01,6.763926940639268803e-01
3h,1.501195854388540640e+00,1.135197308044522568e+00,2.302862770692007288e+00,1.808276255707762514e+00
6h,2.460013113607018909e+00,1.869561602931752109e+00,3.967577214090696192e+00,3.171666666666666412e+00
12h,3.378208663367188613e+00,2.553303482674813552e+00,5.635712427564952165e+00,4.569714611872146115e+00
24h,3.799589476998658455e+00,2.876480488577931816e+00,4.837685609337849080e+00,3.556358447488584318e+00
